보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
갈현1동,1,갈현로37길 53-3,281-101,37.6245810000,126.9121680000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로39가길 33,281-156,37.6243040000,126.9124440000,2005,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7-42,275-61,37.6240630000,126.9127190000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7-37,275-63,37.6238772800,126.9125861000,2022,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7-41,277-18,37.6215770000,126.9137970000,2007,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-43,275-87,37.6236450000,126.9123170000,2006,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-35,275-103,37.6231950000,126.9123580000,2008,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-30,275-80,37.6229990000,126.9126100000,2006,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-28,275-177,37.6229630000,126.9126440000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7-20,275-139,37.6229650000,126.9128710000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-30,275-80,37.6229990000,126.9126100000,2008,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7-32,275-98,37.6235590000,126.9127600000,2016,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 30-2,275-56,37.6238110000,126.9127000000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 30-1,275-110,37.6238750000,126.9128580000,2005,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 29,275-192,37.6236770000,126.9129060000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 11-17,275-134,37.6231010000,126.9129480000,2011,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-30,275-97,37.6232870000,126.9125600000,2005,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 11-17,275-134,37.6232063600,126.9130351000,2020,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 21,275-137,37.6231860000,126.9133210000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 20,275-6,37.6230820000,126.9137640000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 24,537,37.6215494700,126.9141359000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 11-5,275-19,37.6225730000,126.9133640000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 7,275-33,37.6219350000,126.9135090000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-8,275-30,37.6221686400,126.9132134000,2022,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7-8,275-21,37.6224110000,126.9133660000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7-12,275-17,37.6226710000,126.9132260000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-19,275-10,37.6226834800,126.9127119000,2022,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-19,275-10,37.6225570000,126.9125940000,2013,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-16,275-26,37.6225970000,126.9129900000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-12,275-108,37.6223540000,126.9130720000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 5-6,275-32,37.6220950000,126.9133140000,2009,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7,275-33,37.6219350000,126.9135090000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33가길 7,275-33,37.6219856200,126.9135940000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 5,275-36,37.6203384500,126.9154828000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 24,537,37.6215494700,126.9141359000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 28,271,37.6216000000,126.9133780000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 30,271,37.6216000000,126.9133780000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 42,268-5,37.6220587300,126.9121409000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 34-3,268-40,37.6219750000,126.9129990000,2016,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 36-8,268-10,37.6221080000,126.9127360000,2008,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 36-10,268-19,37.6222690000,126.9126430000,2007,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 36-14,268-17,37.6224380000,126.9123920000,2011,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 36-20,274-48,37.6226880000,126.9120590000,2006,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 36-24,266-3,37.6228120000,126.9118310000,2018,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로33길 36-28,266-4,37.6226740000,126.9115390000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로29길 51-14,267-92,37.6224090000,126.9121540000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로29길 62,545-상가,37.6231310000,126.9113170000,2006,,02-351-7944,서울특별시 은평구청,2026-02-26
갈현1동,1,갈현로29길 62,545-1,37.6229480000,126.9110130000,2017,,02-351-7944,서울특별시 은평구청,2026-02-26
